ID,name,group,symbol,number,awt
0,root,,,,
1,diatomic nonmetal,root,,,
2,noble gas,root,,,
3,alkali metal,root,,,
4,alkaline earth metal,root,,,
5,metalloid,root,,,
6,polyatomic nonmetal,root,,,
7,post-transition metal,root,,,
8,transition metal,root,,,
9,lanthanide,root,,,
10,actinide,root,,,
11,Hydrogen,diatomic nonmetal,H,1,1.007
12,Helium,noble gas,He,2,4.002
13,Lithium,alkali metal,Li,3,6.941
14,Beryllium,alkaline earth metal,Be,4,9.012
15,Boron,metalloid,B,5,10.811
16,Carbon,polyatomic nonmetal,C,6,12.011
17,Nitrogen,diatomic nonmetal,N,7,14.007
18,Oxygen,diatomic nonmetal,O,8,15.999
19,Fluorine,diatomic nonmetal,F,9,18.998
20,Neon,noble gas,Ne,10,20.18
21,Sodium,alkali metal,Na,11,22.99
22,Magnesium,alkaline earth metal,Mg,12,24.305
23,Aluminum,post-transition metal,Al,13,26.982
24,Silicon,metalloid,Si,14,28.086
25,Phosphorus,polyatomic nonmetal,P,15,30.974
26,Sulfur,polyatomic nonmetal,S,16,32.065
27,Chlorine,diatomic nonmetal,Cl,17,35.453
28,Argon,noble gas,Ar,18,39.948
29,Potassium,alkali metal,K,19,39.098
30,Calcium,alkaline earth metal,Ca,20,40.078
31,Scandium,transition metal,Sc,21,44.956
32,Titanium,transition metal,Ti,22,47.867
33,Vanadium,transition metal,V,23,50.942
34,Chromium,transition metal,Cr,24,51.996
35,Manganese,transition metal,Mn,25,54.938
36,Iron,transition metal,Fe,26,55.845
37,Cobalt,transition metal,Co,27,58.933
38,Nickel,transition metal,Ni,28,58.693
39,Copper,transition metal,Cu,29,63.546
40,Zinc,transition metal,Zn,30,65.38
41,Gallium,post-transition metal,Ga,31,69.723
42,Germanium,metalloid,Ge,32,72.64
43,Arsenic,metalloid,As,33,74.922
44,Selenium,polyatomic nonmetal,Se,34,78.96
45,Bromine,diatomic nonmetal,Br,35,79.904
46,Krypton,noble gas,Kr,36,83.798
47,Rubidium,alkali metal,Rb,37,85.468
48,Strontium,alkaline earth metal,Sr,38,87.62
49,Yttrium,transition metal,Y,39,88.906
50,Zirconium,transition metal,Zr,40,91.224
51,Niobium,transition metal,Nb,41,92.906
52,Molybdenum,transition metal,Mo,42,95.96
53,Technetium,transition metal,Tc,43,98
54,Ruthenium,transition metal,Ru,44,101.07
55,Rhodium,transition metal,Rh,45,102.906
56,Palladium,transition metal,Pd,46,106.42
57,Silver,transition metal,Ag,47,107.868
58,Cadmium,transition metal,Cd,48,112.411
59,Indium,post-transition metal,In,49,114.818
60,Tin,post-transition metal,Sn,50,118.71
61,Antimony,metalloid,Sb,51,121.76
62,Tellurium,metalloid,Te,52,127.6
63,Iodine,diatomic nonmetal,I,53,126.904
64,Xenon,noble gas,Xe,54,131.293
65,Cesium,alkali metal,Cs,55,132.905
66,Barium,alkaline earth metal,Ba,56,137.327
67,Lanthanum,lanthanide,La,57,138.905
68,Cerium,lanthanide,Ce,58,140.116
69,Praseodymium,lanthanide,Pr,59,140.908
70,Neodymium,lanthanide,Nd,60,144.242
71,Promethium,lanthanide,Pm,61,145
72,Samarium,lanthanide,Sm,62,150.36
73,Europium,lanthanide,Eu,63,151.964
74,Gadolinium,lanthanide,Gd,64,157.25
75,Terbium,lanthanide,Tb,65,158.925
76,Dysprosium,lanthanide,Dy,66,162.5
77,Holmium,lanthanide,Ho,67,164.93
78,Erbium,lanthanide,Er,68,167.259
79,Thulium,lanthanide,Tm,69,168.934
80,Ytterbium,lanthanide,Yb,70,173.054
81,Lutetium,lanthanide,Lu,71,174.967
82,Hafnium,transition metal,Hf,72,178.49
83,Tantalum,transition metal,Ta,73,180.948
84,Tungsten,transition metal,W,74,183.84
85,Rhenium,transition metal,Re,75,186.207
86,Osmium,transition metal,Os,76,190.23
87,Iridium,transition metal,Ir,77,192.217
88,Platinum,transition metal,Pt,78,195.084
89,Gold,transition metal,Au,79,196.967
90,Mercury,transition metal,Hg,80,200.59
91,Thallium,post-transition metal,Tl,81,204.383
92,Lead,post-transition metal,Pb,82,207.2
93,Bismuth,post-transition metal,Bi,83,208.98
94,Polonium,post-transition metal,Po,84,210
95,Astatine,metalloid,At,85,210
96,Radon,noble gas,Rn,86,222
97,Francium,alkali metal,Fr,87,223
98,Radium,alkaline earth metal,Ra,88,226
99,Actinium,actinide,Ac,89,227
100,Thorium,actinide,Th,90,232.038
101,Protactinium,actinide,Pa,91,231.036
102,Uranium,actinide,U,92,238.029
103,Neptunium,actinide,Np,93,237
104,Plutonium,actinide,Pu,94,244
105,Americium,actinide,Am,95,243
106,Curium,actinide,Cm,96,247
107,Berkelium,actinide,Bk,97,247
108,Californium,actinide,Cf,98,251
109,Einsteinium,actinide,Es,99,252
100,Fermium,actinide,Fm,100,257
101,Mendelevium,actinide,Md,101,258
102,Nobelium,actinide,No,102,259
103,Lawrencium,actinide,Lr,103,262
104,Rutherfordium ,transition metal,Rf,104,267
105,Dubnium,transition metal,Db,105,268
106,seaborgiumÂ  ,transition metal,Sg,106,269
107,Bohrium,transition metal,Bh,107,270
108,Hassium,transition metal,Hs,108,269
109,Meitnerium ,transition metal,Mt,109,278
110,Darmstadtium ,transition metal,Ds,110,281
111,Roentgenium,transition metal,Rg,111,281
112,Copernicium,transition metal,Cn,112,285
113,Nihonium,post-transition metal,Nh,113,286
114,Flerovium,post-transition metal,Fl,114,289
115,Moscovium,post-transition metal,Mc,115,289
116,Livermorium,post-transition metal,Lv,116,293
117,Tennessine,diatomic nonmetal,Ts,117,294
118,Oganesson,noble gas,Og,118,294
